accuracies,precisions,recalls,f1_scores,mean_accuracy,std_dev,training_times,testing_times,places,Combination
0.8407960199004975,0.839207445716042,0.8407960199004975,0.8392136318444889,0.8366500829187397,0.013660217486043838,0.0855245590209961,[0.1186361312866211],0.8677494199535963,0
0.8656716417910447,0.8651517177257494,0.8656716417910447,0.8650587434046376,0.8366500829187397,0.013660217486043838,0.10521793365478516,[0.1186361312866211],0.8677494199535963,0
0.8341625207296849,0.8319658518172646,0.8341625207296849,0.8315793875303852,0.8366500829187397,0.013660217486043838,0.08158230781555176,[0.1186361312866211],0.8677494199535963,0
0.8424543946932007,0.8389024419025151,0.8424543946932007,0.8396607373390669,0.8366500829187397,0.013660217486043838,0.08847594261169434,[0.1186361312866211],0.8677494199535963,0
0.8126036484245439,0.8118399403231038,0.8126036484245439,0.8110963688805082,0.8366500829187397,0.013660217486043838,0.08722233772277832,[0.1186361312866211],0.8677494199535963,0
0.845771144278607,0.8449742255273422,0.845771144278607,0.843697659267645,0.8366500829187397,0.013660217486043838,0.08239006996154785,[0.1186361312866211],0.8677494199535963,0
0.8275290215588723,0.8257117467745676,0.8275290215588723,0.8260413307586812,0.8366500829187397,0.013660217486043838,0.08066844940185547,[0.1186361312866211],0.8677494199535963,0
0.8424543946932007,0.8456525132614273,0.8424543946932007,0.8435865875387994,0.8366500829187397,0.013660217486043838,0.09192633628845215,[0.1186361312866211],0.8677494199535963,0
0.824212271973466,0.8226603008160905,0.824212271973466,0.8230606529259282,0.8366500829187397,0.013660217486043838,0.07592344284057617,[0.1186361312866211],0.8677494199535963,0
0.8308457711442786,0.8297172549876383,0.8308457711442786,0.8293367773584615,0.8366500829187397,0.013660217486043838,0.08381319046020508,[0.1186361312866211],0.8677494199535963,0
0.8109452736318408,0.8070858159663803,0.8109452736318408,0.8069099363149511,0.8111111111111112,0.011737029704292218,0.0861661434173584,[0.11389493942260742],0.8422273781902552,1
0.8291873963515755,0.8275661597147875,0.8291873963515755,0.8254345389689624,0.8111111111111112,0.011737029704292218,0.09371733665466309,[0.11389493942260742],0.8422273781902552,1
0.8175787728026535,0.8150584011485871,0.8175787728026535,0.8150058972351806,0.8111111111111112,0.011737029704292218,0.08813238143920898,[0.11389493942260742],0.8422273781902552,1
0.8059701492537313,0.8054453069105442,0.8059701492537313,0.8044787882244137,0.8111111111111112,0.011737029704292218,0.08082985877990723,[0.11389493942260742],0.8422273781902552,1
0.8009950248756219,0.7961499637539325,0.8009950248756219,0.7963542825490693,0.8111111111111112,0.011737029704292218,0.0854954719543457,[0.11389493942260742],0.8422273781902552,1
0.8192371475953566,0.8157839178004765,0.8192371475953566,0.8169941818533418,0.8111111111111112,0.011737029704292218,0.08337044715881348,[0.11389493942260742],0.8422273781902552,1
0.7893864013266998,0.7894116397509388,0.7893864013266998,0.7885230107366243,0.8111111111111112,0.011737029704292218,0.08992958068847656,[0.11389493942260742],0.8422273781902552,1
0.8059701492537313,0.8067878560931161,0.8059701492537313,0.806345224298302,0.8111111111111112,0.011737029704292218,0.08329653739929199,[0.11389493942260742],0.8422273781902552,1
0.8043117744610282,0.8033739816498696,0.8043117744610282,0.8028914603528208,0.8111111111111112,0.011737029704292218,0.08911633491516113,[0.11389493942260742],0.8422273781902552,1
0.8275290215588723,0.826207025932085,0.8275290215588723,0.8267502032526641,0.8111111111111112,0.011737029704292218,0.0832834243774414,[0.11389493942260742],0.8422273781902552,1
0.8640132669983416,0.8613984261313962,0.8640132669983416,0.8617615735744611,0.8711442786069652,0.010277910734557989,0.10908770561218262,[0.1607208251953125],0.9060324825986079,2
0.8855721393034826,0.8861225703966249,0.8855721393034826,0.8841731148715293,0.8711442786069652,0.010277910734557989,0.10608482360839844,[0.1607208251953125],0.9060324825986079,2
0.8805970149253731,0.8801055187419795,0.8805970149253731,0.8799820452897394,0.8711442786069652,0.010277910734557989,0.11009788513183594,[0.1607208251953125],0.9060324825986079,2
0.8656716417910447,0.8641230407909568,0.8656716417910447,0.8628319475034959,0.8711442786069652,0.010277910734557989,0.09674572944641113,[0.1607208251953125],0.9060324825986079,2
0.8590381426202321,0.8564364276508158,0.8590381426202321,0.8564110445104075,0.8711442786069652,0.010277910734557989,0.10200643539428711,[0.1607208251953125],0.9060324825986079,2
0.8872305140961857,0.8862829514458609,0.8872305140961857,0.8862335833415659,0.8711442786069652,0.010277910734557989,0.10047698020935059,[0.1607208251953125],0.9060324825986079,2
0.8640132669983416,0.8643159628257264,0.8640132669983416,0.8635586459710246,0.8711442786069652,0.010277910734557989,0.10799098014831543,[0.1607208251953125],0.9060324825986079,2
0.867330016583748,0.8713468168658052,0.867330016583748,0.8683883600114383,0.8711442786069652,0.010277910734557989,0.10130786895751953,[0.1607208251953125],0.9060324825986079,2
0.8590381426202321,0.8575893573829338,0.8590381426202321,0.8580243392282708,0.8711442786069652,0.010277910734557989,0.10509276390075684,[0.1607208251953125],0.9060324825986079,2
0.87893864013267,0.8776044207069228,0.87893864013267,0.8778905633864584,0.8711442786069652,0.010277910734557989,0.12053918838500977,[0.1607208251953125],0.9060324825986079,2
0.7877280265339967,0.7876956796039848,0.7877280265339967,0.7876990714880474,0.7674958540630181,0.015606355364535442,0.11577916145324707,[0.12522006034851074],0.7981438515081206,3
0.7529021558872305,0.7503277591638238,0.7529021558872305,0.7509084878978864,0.7674958540630181,0.015606355364535442,0.1162710189819336,[0.12522006034851074],0.7981438515081206,3
0.7545605306799337,0.7506833104719569,0.7545605306799337,0.7512997518579779,0.7674958540630181,0.015606355364535442,0.11629509925842285,[0.12522006034851074],0.7981438515081206,3
0.7495854063018242,0.7444595602686936,0.7495854063018242,0.7465787883073294,0.7674958540630181,0.015606355364535442,0.1262962818145752,[0.12522006034851074],0.7981438515081206,3
0.7777777777777778,0.7771612357445814,0.7777777777777778,0.7770418998869075,0.7674958540630181,0.015606355364535442,0.1141960620880127,[0.12522006034851074],0.7981438515081206,3
0.7761194029850746,0.7752263049006183,0.7761194029850746,0.7698687396546078,0.7674958540630181,0.015606355364535442,0.11762857437133789,[0.12522006034851074],0.7981438515081206,3
0.7645107794361525,0.7618158703383989,0.7645107794361525,0.7624960655669182,0.7674958540630181,0.015606355364535442,0.10763382911682129,[0.12522006034851074],0.7981438515081206,3
0.7661691542288557,0.7640358488721708,0.7661691542288557,0.7649274233392342,0.7674958540630181,0.015606355364535442,0.11565136909484863,[0.12522006034851074],0.7981438515081206,3
0.7495854063018242,0.750338053323128,0.7495854063018242,0.7498657701425981,0.7674958540630181,0.015606355364535442,0.11604762077331543,[0.12522006034851074],0.7981438515081206,3
0.7960199004975125,0.7964616109451327,0.7960199004975125,0.7937666800964506,0.7674958540630181,0.015606355364535442,0.11306548118591309,[0.12522006034851074],0.7981438515081206,3
0.900497512437811,0.8996121288361244,0.900497512437811,0.8991024812909588,0.891044776119403,0.010515979344933785,0.12050461769104004,[0.16068267822265625],0.91415313225058,4
0.8888888888888888,0.8885431013012723,0.8888888888888888,0.8882181908905499,0.891044776119403,0.010515979344933785,0.11501550674438477,[0.16068267822265625],0.91415313225058,4
0.8922056384742952,0.8906697706390476,0.8922056384742952,0.8905880339762587,0.891044776119403,0.010515979344933785,0.11781120300292969,[0.16068267822265625],0.91415313225058,4
0.8888888888888888,0.8868798257772813,0.8888888888888888,0.887345228043677,0.891044776119403,0.010515979344933785,0.11681914329528809,[0.16068267822265625],0.91415313225058,4
0.8805970149253731,0.8795901155427055,0.8805970149253731,0.878706506844508,0.891044776119403,0.010515979344933785,0.11356210708618164,[0.16068267822265625],0.91415313225058,4
0.9087893864013267,0.9087001224336888,0.9087893864013267,0.9065278238030754,0.891044776119403,0.010515979344933785,0.1205587387084961,[0.16068267822265625],0.91415313225058,4
