accuracies,precisions,recalls,f1_scores,mean_accuracy,std_dev,training_times,testing_times,places,Combination
0.7263681592039801,0.7228501364574577,0.7263681592039801,0.7229379814250625,0.7135986733001659,0.009145151362495683,0.1674363613128662,[0.18492484092712402],0.7529002320185615,0
0.7213930348258707,0.7167574798018502,0.7213930348258707,0.7183240813604268,0.7135986733001659,0.009145151362495683,0.16376852989196777,[0.18492484092712402],0.7529002320185615,0
0.7097844112769486,0.7000920060124592,0.7097844112769486,0.7027412294091343,0.7135986733001659,0.009145151362495683,0.16597366333007812,[0.18492484092712402],0.7529002320185615,0
0.6981757877280266,0.6895547383963935,0.6981757877280266,0.6914068048721548,0.7135986733001659,0.009145151362495683,0.1709136962890625,[0.18492484092712402],0.7529002320185615,0
0.7230514096185738,0.7163847911694441,0.7230514096185738,0.7187848912526922,0.7135986733001659,0.009145151362495683,0.1921827793121338,[0.18492484092712402],0.7529002320185615,0
0.7114427860696517,0.7047148748221341,0.7114427860696517,0.706468021305298,0.7135986733001659,0.009145151362495683,0.1554880142211914,[0.18492484092712402],0.7529002320185615,0
0.714759535655058,0.7045465432175164,0.714759535655058,0.7065203665319498,0.7135986733001659,0.009145151362495683,0.15173912048339844,[0.18492484092712402],0.7529002320185615,0
0.6998341625207297,0.6889179908804011,0.6998341625207297,0.6916468396468982,0.7135986733001659,0.009145151362495683,0.15716290473937988,[0.18492484092712402],0.7529002320185615,0
0.7097844112769486,0.7008804586522017,0.7097844112769486,0.7024011500556112,0.7135986733001659,0.009145151362495683,0.1792891025543213,[0.18492484092712402],0.7529002320185615,0
0.7213930348258707,0.7136864631300348,0.7213930348258707,0.7145647459313336,0.7135986733001659,0.009145151362495683,0.15796875953674316,[0.18492484092712402],0.7529002320185615,0
0.7495854063018242,0.7426892787318958,0.7495854063018242,0.7449623450218193,0.7414593698175788,0.01201492251189383,0.14957475662231445,[0.1564345359802246],0.7726218097447796,1
0.7611940298507462,0.75525975699536,0.7611940298507462,0.7558046800324467,0.7414593698175788,0.01201492251189383,0.13732266426086426,[0.1564345359802246],0.7726218097447796,1
0.7396351575456053,0.7332170457455248,0.7396351575456053,0.7359180100366232,0.7414593698175788,0.01201492251189383,0.14968514442443848,[0.1564345359802246],0.7726218097447796,1
0.7346600331674958,0.7286620335437888,0.7346600331674958,0.7310484002622353,0.7414593698175788,0.01201492251189383,0.14742445945739746,[0.1564345359802246],0.7726218097447796,1
0.7479270315091211,0.7312786478210647,0.7479270315091211,0.7356553299609054,0.7414593698175788,0.01201492251189383,0.14457321166992188,[0.1564345359802246],0.7726218097447796,1
0.7263681592039801,0.7180875957193087,0.7263681592039801,0.7205167566396437,0.7414593698175788,0.01201492251189383,0.1475374698638916,[0.1564345359802246],0.7726218097447796,1
0.7512437810945274,0.7459046811815155,0.7512437810945274,0.7471137545837683,0.7414593698175788,0.01201492251189383,0.1336669921875,[0.1564345359802246],0.7726218097447796,1
0.7230514096185738,0.7157723036763418,0.7230514096185738,0.7182828295041294,0.7414593698175788,0.01201492251189383,0.1416611671447754,[0.1564345359802246],0.7726218097447796,1
0.7296849087893864,0.7258039007827876,0.7296849087893864,0.7267703491019716,0.7414593698175788,0.01201492251189383,0.14613747596740723,[0.1564345359802246],0.7726218097447796,1
0.7512437810945274,0.7431465723209958,0.7512437810945274,0.7458270122716122,0.7414593698175788,0.01201492251189383,0.1516425609588623,[0.1564345359802246],0.7726218097447796,1
0.814262023217247,0.8097613912328103,0.814262023217247,0.8099235049517692,0.7996683250414593,0.012668941462543454,0.2205960750579834,[0.24970293045043945],0.808584686774942,2
0.814262023217247,0.8124318449752662,0.814262023217247,0.812063952153662,0.7996683250414593,0.012668941462543454,0.21790146827697754,[0.24970293045043945],0.808584686774942,2
0.8059701492537313,0.8022272554181653,0.8059701492537313,0.8032123351857667,0.7996683250414593,0.012668941462543454,0.21304702758789062,[0.24970293045043945],0.808584686774942,2
0.7860696517412935,0.7814427809483879,0.7860696517412935,0.7828992880924346,0.7996683250414593,0.012668941462543454,0.201812744140625,[0.24970293045043945],0.808584686774942,2
0.8076285240464345,0.8012093283875997,0.8076285240464345,0.8027885014234102,0.7996683250414593,0.012668941462543454,0.212691068649292,[0.24970293045043945],0.808584686774942,2
0.7744610281923715,0.7718393495618482,0.7744610281923715,0.7722134086068049,0.7996683250414593,0.012668941462543454,0.20526909828186035,[0.24970293045043945],0.808584686774942,2
0.7893864013266998,0.785067121080257,0.7893864013266998,0.786430597496902,0.7996683250414593,0.012668941462543454,0.20311355590820312,[0.24970293045043945],0.808584686774942,2
0.7927031509121062,0.791318339932027,0.7927031509121062,0.7916375846119176,0.7996683250414593,0.012668941462543454,0.2046201229095459,[0.24970293045043945],0.808584686774942,2
0.802653399668325,0.7993697398870164,0.802653399668325,0.8002546378166213,0.7996683250414593,0.012668941462543454,0.2069547176361084,[0.24970293045043945],0.808584686774942,2
0.8092868988391376,0.8055331643582341,0.8092868988391376,0.8060530840099734,0.7996683250414593,0.012668941462543454,0.20802617073059082,[0.24970293045043945],0.808584686774942,2
0.5406301824212272,0.5345263219420308,0.5406301824212272,0.537195204261331,0.521558872305141,0.015203778951491106,0.15928292274475098,[0.16599535942077637],0.5522041763341067,3
0.5174129353233831,0.5111566132037827,0.5174129353233831,0.5126441523870624,0.521558872305141,0.015203778951491106,0.1631176471710205,[0.16599535942077637],0.5522041763341067,3
0.5240464344941956,0.5083814541695689,0.5240464344941956,0.5136110424224217,0.521558872305141,0.015203778951491106,0.15233588218688965,[0.16599535942077637],0.5522041763341067,3
0.5107794361525705,0.501946507787799,0.5107794361525705,0.5047184879413231,0.521558872305141,0.015203778951491106,0.15149593353271484,[0.16599535942077637],0.5522041763341067,3
0.5323383084577115,0.5280471013912439,0.5323383084577115,0.5299165697439423,0.521558872305141,0.015203778951491106,0.1636207103729248,[0.16599535942077637],0.5522041763341067,3
0.4859038142620232,0.47236355996880147,0.4859038142620232,0.47802285140724327,0.521558872305141,0.015203778951491106,0.15020990371704102,[0.16599535942077637],0.5522041763341067,3
0.538971807628524,0.5151613832984869,0.538971807628524,0.5234311910232519,0.521558872305141,0.015203778951491106,0.15703725814819336,[0.16599535942077637],0.5522041763341067,3
0.5174129353233831,0.5106561270504861,0.5174129353233831,0.5124745104119796,0.521558872305141,0.015203778951491106,0.15831851959228516,[0.16599535942077637],0.5522041763341067,3
0.5306799336650083,0.527988174899217,0.5306799336650083,0.5277594422267786,0.521558872305141,0.015203778951491106,0.1516873836517334,[0.16599535942077637],0.5522041763341067,3
0.5174129353233831,0.5073932788490986,0.5174129353233831,0.5092357289229813,0.521558872305141,0.015203778951491106,0.15510320663452148,[0.16599535942077637],0.5522041763341067,3
0.7645107794361525,0.7578065626679725,0.7645107794361525,0.7601304598532549,0.7407960199004975,0.017393972142888608,0.1837003231048584,[0.2146148681640625],0.7726218097447796,4
0.7446102819237148,0.7388923099112922,0.7446102819237148,0.7402064667464456,0.7407960199004975,0.017393972142888608,0.18768572807312012,[0.2146148681640625],0.7726218097447796,4
0.7529021558872305,0.7432898839698705,0.7529021558872305,0.743084894756205,0.7407960199004975,0.017393972142888608,0.18293285369873047,[0.2146148681640625],0.7726218097447796,4
0.7114427860696517,0.7049136378586989,0.7114427860696517,0.705581869182107,0.7407960199004975,0.017393972142888608,0.18813395500183105,[0.2146148681640625],0.7726218097447796,4
